Seed, N, MU, RHO, S, Num_neutral, Num_sel, pi_neutral, pi_sel
5597659453569575662, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 21, 1.04029e-06, 5.97781e-06
4192112528217924292, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 35, 8.75673e-06, 8.81147e-06
1499878894517954542, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 27, 4.37616e-06, 1.19199e-05
4301895828196098313, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 35, 2.21867e-06, 9.63758e-06
4645882889992355953, 5000, 1.0e-09, 1.0e-09, -0.0001, 6, 8, 4.85124e-06, 4.38356e-06
4133612113747730319, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 33, 1.57417e-06, 6.63222e-06
2665270661203744954, 5000, 3.0e-09, 1.0e-11, -0.0001, 26, 30, 1.74098e-06, 1.41564e-05
1158620206047808630, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 22, 3.89784e-06, 5.91718e-06
7910200837351469168, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 21, 6.40902e-06, 7.08856e-06
7071031338452653060, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 32, 4.61278e-06, 1.26606e-05
2907052191877531500, 5000, 3.0e-09, 1.0e-11, -0.0001, 21, 39, 2.77637e-06, 1.4492e-05
3478202519546983021, 5000, 3.0e-09, 1.0e-11, -0.0001, 21, 23, 6.34838e-06, 2.38989e-06
6494875461470432996, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 36, 2.1933e-06, 5.85609e-06
1693842132880277168, 5000, 3.0e-09, 1.0e-11, -0.0001, 6, 38, 1.12753e-06, 7.85388e-06
3016931242819518244, 5000, 3.0e-09, 1.0e-11, -0.0001, 19, 33, 1.14638e-06, 8.96983e-06
8563870307784580123, 5000, 1.0e-09, 1.0e-09, -0.0001, 10, 10, 3.43852e-06, 1.74561e-06
8429187099313215847, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 34, 2.66739e-06, 7.51919e-06
1761654388211996623, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 33, 7.20892e-06, 1.12328e-05
8830502993758555286, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 26, 8.81031e-06, 6.11605e-06
356895210119051128, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 28, 2.54463e-06, 9.64927e-06
5625439989073310707, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 25, 4.09555e-06, 1.223e-05
5226782880798672958, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 23, 2.67545e-06, 4.68682e-06
2970813636977352927, 5000, 3.0e-09, 1.0e-11, -0.0001, 19, 27, 4.39204e-06, 4.62688e-06
5666713354266425717, 5000, 3.0e-09, 1.0e-11, -0.0001, 9, 35, 6.19513e-06, 8.88143e-06
8848784605638077301, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 30, 2.52143e-06, 9.04055e-06
8827025067805232898, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 33, 3.55624e-06, 1.34025e-05
4240687472801575017, 5000, 1.0e-09, 1.0e-09, -0.0001, 6, 8, 1.09864e-07, 3.10433e-07
7277834952043197459, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 27, 8.69998e-06, 8.70331e-06
7483794160639310226, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 28, 2.87901e-06, 9.68894e-06
3807503567149099550, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 27, 7.63704e-06, 1.92121e-05
3143471931020783105, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 31, 5.31879e-06, 6.27586e-06
5670288214989148702, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 27, 4.08754e-06, 1.2403e-05
1917102990626582905, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 32, 3.11098e-06, 1.45769e-05
374821548078027213, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 24, 3.51373e-06, 6.80682e-06
6237578627828093918, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 30, 3.76098e-06, 1.43032e-05
581738215069134823, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 27, 3.58247e-06, 6.71719e-06
5516828842652870509, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 29, 4.09914e-06, 5.4424e-06
179119444264438958, 5000, 1.0e-09, 1.0e-09, -0.0001, 7, 7, 4.30473e-06, 6.20277e-06
6733933514887666120, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 25, 1.36659e-06, 7.27982e-06
2098841653545541416, 5000, 3.0e-09, 1.0e-11, -0.0001, 24, 24, 6.8619e-06, 3.71866e-06
4142533447859826547, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 28, 4.94765e-06, 8.6149e-06
683764804413536092, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 24, 3.70853e-07, 5.42665e-06
5058765637385306658, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 30, 7.41212e-06, 6.16914e-06
4592295392515590239, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 32, 6.45205e-06, 1.01729e-05
3630662385058416318, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 26, 8.37111e-06, 8.56161e-06
1348437954606039909, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 38, 3.70866e-06, 7.27806e-06
5757425421327135893, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 39, 3.67731e-06, 9.47603e-06
2154952534380875356, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 26, 7.76378e-06, 7.754e-06
3844680709053900785, 5000, 1.0e-09, 1.0e-09, -0.0001, 3, 9, 1.30742e-06, 7.78798e-07
3602876857930103351, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 25, 1.97773e-06, 5.82034e-06
5631603433150093548, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 30, 2.21752e-06, 6.8247e-06
1053757923479721107, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 18, 3.85776e-06, 5.67194e-06
4289494866044565903, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 25, 4.76567e-06, 5.14871e-06
2376248269819423332, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 36, 2.10577e-06, 1.33858e-05
810642983296000471, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 20, 2.79255e-06, 4.64577e-06
1525960792729379097, 5000, 3.0e-09, 1.0e-11, -0.0001, 8, 33, 3.66609e-06, 6.85888e-06
1931539434670681403, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 28, 6.69441e-06, 9.64176e-06
5375832902977452160, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 24, 4.38954e-06, 4.39038e-06
3642620452359092048, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 34, 1.20577e-06, 1.23708e-05
8694153091395270841, 5000, 1.0e-09, 1.0e-09, -0.0001, 7, 10, 2.05833e-06, 6.78068e-06
3305177882026354992, 5000, 3.0e-09, 1.0e-11, -0.0001, 9, 20, 2.66746e-06, 6.87786e-06
91319257156695254, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 30, 3.05697e-06, 1.32615e-05
3252394858385280842, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 25, 1.93163e-06, 8.56848e-06
2729083960205923195, 5000, 3.0e-09, 1.0e-11, -0.0001, 25, 34, 1.02564e-05, 8.84282e-06
5351066652167706252, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 25, 9.0809e-06, 6.38272e-06
4194828917225813141, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 28, 5.32085e-06, 6.99737e-06
7832431147331058155, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 23, 1.55966e-06, 3.42509e-06
5869216720652561453, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 24, 1.48197e-06, 7.33089e-06
8287703679125047738, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 29, 8.38179e-07, 9.48772e-06
6690698683146065857, 5000, 3.0e-09, 1.0e-11, -0.0001, 24, 36, 1.13247e-05, 1.75651e-05
6412992843152521385, 5000, 1.0e-09, 1.0e-09, -0.0001, 7, 9, 1.23597e-06, 5.40997e-06
6444278694376416262, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 26, 3.11996e-06, 6.58478e-06
685190321349734127, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 23, 3.39117e-06, 4.851e-06
2853210942546788009, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 35, 2.95539e-06, 1.16488e-05
4617401479716162241, 5000, 3.0e-09, 1.0e-11, -0.0001, 21, 17, 1.07729e-05, 4.16811e-06
6666799903150845819, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 29, 4.71024e-06, 1.27963e-05
1714685197044021108, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 27, 1.2691e-05, 9.29831e-06
7836448147129943148, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 33, 8.93824e-06, 9.1699e-06
3658349224537226528, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 28, 4.80435e-06, 2.30829e-06
2243607915621508368, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 22, 1.77855e-06, 4.60412e-06
8339919010948077886, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 31, 1.3812e-06, 1.02883e-05
5647037203195833334, 5000, 1.0e-09, 1.0e-09, -0.0001, 9, 17, 1.50838e-06, 5.46545e-06
3131816122270218938, 5000, 1.0e-09, 1.0e-08, -0.0001, 2, 6, 3.29934e-06, 1.32305e-06
7571125302559483985, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 31, 1.29495e-06, 1.4506e-05
7189363410343663522, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 25, 4.06299e-06, 5.34515e-06
225214045638996837, 5000, 3.0e-09, 1.0e-11, -0.0001, 27, 24, 4.76851e-06, 6.1179e-06
5605364352765752355, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 22, 5.31417e-06, 7.69106e-06
5162502370336511336, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 29, 5.66724e-06, 9.5816e-06
7041277698965658992, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 26, 6.37798e-06, 6.3703e-06
513605877669166469, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 29, 4.89804e-06, 5.02188e-06
7440738960633643512, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 29, 6.63997e-06, 4.92326e-06
1617779423689803707, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 35, 3.05623e-06, 9.41363e-06
4139330689959715616, 5000, 3.0e-09, 1.0e-11, -0.0001, 21, 40, 4.61575e-06, 1.13685e-05
4073859308243945519, 5000, 1.0e-09, 1.0e-09, -0.0001, 5, 10, 1.99671e-06, 2.72114e-06
9155733558425816306, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 41, 1.70506e-06, 1.65329e-05
4458511795730581716, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 35, 8.18403e-06, 1.19151e-05
3750107438034206410, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 36, 1.86625e-06, 1.0615e-05
9107734617105966052, 5000, 3.0e-09, 1.0e-11, -0.0001, 19, 33, 5.80589e-06, 4.93958e-06
49809428021612984, 5000, 3.0e-09, 1.0e-11, -0.0001, 23, 32, 2.46417e-06, 1.1973e-05
464733637691974610, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 25, 1.03861e-06, 8.73559e-06
9028108820811013679, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 31, 1.6757e-06, 5.33196e-06
8462169491703196284, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 30, 4.26127e-06, 1.03625e-05
3837288773493529790, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 29, 3.1969e-06, 4.45241e-06
5568016626832777769, 5000, 3.0e-09, 1.0e-11, -0.0001, 7, 27, 1.99697e-06, 7.54557e-06
6956630356207879912, 5000, 1.0e-09, 1.0e-09, -0.0001, 9, 7, 3.40598e-06, 1.6711e-06
892445144723962375, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 24, 8.34367e-06, 7.27116e-06
6838930252226805443, 5000, 3.0e-09, 1.0e-11, -0.0001, 9, 34, 1.13076e-06, 1.33958e-05
1979477358970929691, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 24, 7.61245e-07, 9.17833e-06
4029259833336571985, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 32, 7.66367e-06, 5.91974e-06
3263577625316942796, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 30, 2.78179e-06, 7.53039e-06
6187638919959127850, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 31, 1.66559e-06, 6.65564e-06
9221617226750883127, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 28, 1.2419e-06, 1.08426e-05
8655496242462068172, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 32, 5.22588e-06, 1.85656e-05
6251076855440171285, 5000, 3.0e-09, 1.0e-11, -0.0001, 22, 28, 9.01219e-06, 8.90461e-06
4342634170944213707, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 24, 6.15304e-06, 1.06494e-05
7893605073082505915, 5000, 1.0e-09, 1.0e-09, -0.0001, 5, 13, 8.37335e-07, 5.06596e-06
1726917755541600764, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 31, 9.25407e-06, 3.37546e-06
4103448780024792292, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 26, 4.18125e-06, 6.50132e-06
6421947821260231600, 5000, 3.0e-09, 1.0e-11, -0.0001, 22, 31, 1.08526e-05, 5.49856e-06
8035539258035402065, 5000, 3.0e-09, 1.0e-11, -0.0001, 7, 34, 1.37339e-06, 8.96169e-06
1231262096555252759, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 40, 1.65037e-06, 1.56382e-05
4910422534726698936, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 28, 2.80192e-06, 1.20689e-05
3702045400350166167, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 29, 4.73483e-06, 8.62477e-06
2443975620859419899, 5000, 3.0e-09, 1.0e-11, -0.0001, 9, 28, 7.6125e-06, 5.35043e-06
2024770246453927193, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 33, 1.21324e-06, 1.64877e-05
2840446684197174361, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 26, 7.62919e-06, 1.35623e-05
6075184208670969427, 5000, 1.0e-09, 1.0e-09, -0.0001, 6, 10, 1.97852e-06, 1.60985e-06
2534934659076998567, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 32, 2.79948e-06, 1.25301e-05
5323554326622187313, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 35, 3.51781e-06, 1.02114e-05
4297375164443706696, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 25, 2.76037e-06, 9.606e-06
314995661228278738, 5000, 3.0e-09, 1.0e-11, -0.0001, 21, 23, 1.21281e-05, 1.29757e-05
7059585609072953559, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 26, 2.80071e-06, 3.12085e-06
6457384520306685254, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 24, 3.47211e-06, 8.52652e-06
771891615037525429, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 28, 2.82182e-06, 2.72318e-06
8209684728665759304, 5000, 3.0e-09, 1.0e-11, -0.0001, 25, 25, 7.43459e-06, 4.37034e-06
7265480536081782541, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 32, 5.51877e-06, 5.84011e-06
175608642141110037, 5000, 3.0e-09, 1.0e-11, -0.0001, 21, 25, 5.97658e-06, 6.04446e-06
2670359443242297303, 5000, 1.0e-09, 1.0e-09, -0.0001, 4, 9, 2.34786e-06, 2.46833e-06
7582522088605387700, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 25, 2.47696e-06, 1.26621e-05
6201964028100363232, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 34, 3.42082e-06, 8.56908e-06
521699763226513653, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 37, 7.4631e-06, 5.99679e-06
5629466211106761950, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 36, 5.7426e-06, 1.00058e-05
8720146228892826028, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 32, 5.20104e-06, 1.45463e-05
8679914545562548365, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 34, 7.3794e-06, 7.42951e-06
5689878883051993552, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 29, 1.56558e-06, 5.7638e-06
843396994958666568, 5000, 3.0e-09, 1.0e-11, -0.0001, 24, 30, 7.65905e-06, 5.79815e-06
1439473378283965912, 5000, 3.0e-09, 1.0e-11, -0.0001, 19, 27, 6.51606e-06, 1.11172e-05
7146780136627071110, 5000, 3.0e-09, 1.0e-11, -0.0001, 7, 25, 1.26214e-06, 3.18857e-06
376854020538354560, 5000, 1.0e-09, 1.0e-09, -0.0001, 6, 9, 5.23387e-07, 1.26144e-06
7925685176178154032, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 26, 1.98603e-06, 7.16281e-06
8693513519804800520, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 39, 1.54623e-06, 1.52889e-05
9000395047041695477, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 25, 8.63045e-07, 7.82212e-06
2940817324794130950, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 16, 4.36323e-06, 9.77903e-06
2799260096218319667, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 25, 1.65312e-06, 5.14933e-06
2720547987821702474, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 27, 5.20277e-06, 1.02452e-05
6537628292126628871, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 28, 1.71732e-06, 4.84199e-06
3555249719623474719, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 34, 2.42603e-06, 1.34529e-05
4374418868217955008, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 28, 3.00674e-06, 7.61691e-06
2845449861355516808, 5000, 3.0e-09, 1.0e-11, -0.0001, 8, 27, 1.39606e-07, 4.3723e-06
7687078431118979812, 5000, 1.0e-09, 1.0e-09, -0.0001, 9, 9, 5.97103e-06, 4.59904e-06
5820996748814158214, 5000, 3.0e-09, 1.0e-11, -0.0001, 7, 30, 5.51966e-06, 8.58606e-06
7993937789225564374, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 37, 5.37697e-06, 1.48038e-05
3368262222109220351, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 21, 6.05086e-06, 5.32019e-06
2142066929253544217, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 26, 2.7173e-06, 5.77079e-06
1252515623795607697, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 33, 1.44256e-06, 8.19676e-06
6874054254982034148, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 30, 2.41625e-06, 1.80447e-05
5772729187143358122, 5000, 3.0e-09, 1.0e-11, -0.0001, 8, 26, 1.44145e-06, 8.16414e-06
189791553314999153, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 21, 5.70539e-06, 2.79796e-06
9201484587387741949, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 26, 3.44129e-06, 6.12891e-06
3043131658908197109, 5000, 3.0e-09, 1.0e-11, -0.0001, 23, 32, 5.62897e-06, 1.81208e-05
5976557768441114256, 5000, 1.0e-09, 1.0e-09, -0.0001, 5, 14, 6.27874e-07, 7.78655e-06
1795621778505366177, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 29, 6.4503e-06, 9.73839e-06
4909146345935315650, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 30, 6.12858e-06, 7.26083e-06
2702393898900734600, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 29, 3.07309e-06, 1.21895e-05
182784637372328478, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 30, 6.22937e-06, 6.15308e-06
9196066116059334278, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 32, 2.26215e-06, 5.41846e-06
6402117542107131644, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 26, 5.38827e-06, 5.68284e-06
6552009908854896523, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 25, 4.25841e-06, 1.88354e-05
1082262107886349417, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 26, 1.14107e-05, 5.81462e-06
3273188704234999779, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 43, 2.4371e-06, 8.10045e-06
4249257486025232608, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 34, 3.71866e-06, 1.42128e-05
8628962509446820638, 5000, 1.0e-09, 1.0e-09, -0.0001, 5, 8, 2.66323e-07, 3.53381e-06
8792233334488025873, 5000, 3.0e-09, 1.0e-11, -0.0001, 20, 32, 2.68639e-06, 5.58473e-06
6053282070755008944, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 25, 2.94281e-06, 8.10068e-06
7889148752726289730, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 25, 5.08555e-06, 8.60426e-06
4604969398858233871, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 27, 3.38739e-06, 6.93095e-06
55359397293995730, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 18, 1.14335e-05, 3.60683e-06
6955320384901255939, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 22, 3.56586e-06, 9.59811e-06
2519946219406241484, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 30, 4.38662e-06, 8.39311e-06
2848178998140417993, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 33, 1.68905e-06, 5.37854e-06
8728870584226415086, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 27, 6.91375e-06, 5.68282e-06
470008930225335659, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 30, 3.93974e-06, 3.12506e-06
2745321899710864510, 5000, 1.0e-09, 1.0e-09, -0.0001, 2, 12, 9.55676e-08, 2.10081e-06
414944463535697428, 5000, 1.0e-09, 1.0e-08, -0.0001, 6, 10, 2.07081e-06, 1.54237e-06
3216086712563506697, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 28, 2.51617e-06, 8.57966e-06
5331644871270576392, 5000, 3.0e-09, 1.0e-11, -0.001, 15, 19, 2.79899e-06, 5.12235e-06
8538306921615215604, 5000, 3.0e-09, 1.0e-11, -0.001, 8, 29, 5.56607e-07, 1.03676e-05
8096434343756262130, 5000, 3.0e-09, 1.0e-11, -0.001, 11, 29, 1.76296e-06, 6.13053e-06
3339806063389718547, 5000, 3.0e-09, 1.0e-11, -0.001, 16, 25, 1.8873e-06, 5.96125e-06
1742538553378854643, 5000, 3.0e-09, 1.0e-11, -0.001, 10, 34, 5.77928e-06, 3.84702e-06
2409375481243701314, 5000, 3.0e-09, 1.0e-11, -0.001, 8, 35, 3.14015e-06, 4.5536e-06
3008743185393108913, 5000, 3.0e-09, 1.0e-11, -0.001, 16, 22, 2.95502e-06, 9.55784e-06
8308775683891858825, 5000, 3.0e-09, 1.0e-11, -0.001, 14, 33, 4.60946e-06, 7.50014e-06
3525441738458342272, 5000, 3.0e-09, 1.0e-11, -0.001, 16, 32, 3.43591e-06, 9.90932e-06
6579697581839827206, 5000, 1.0e-09, 1.0e-09, -0.0001, 8, 9, 3.17827e-06, 2.23314e-06
4138019086528091772, 5000, 3.0e-09, 1.0e-11, -0.001, 5, 30, 1.54851e-06, 4.03725e-06
3525708890828218450, 5000, 3.0e-09, 1.0e-11, -0.001, 12, 29, 9.53936e-07, 5.23341e-06
6561526803112163025, 5000, 3.0e-09, 1.0e-11, -0.001, 20, 29, 9.03265e-06, 6.71462e-06
1264898956368372780, 5000, 3.0e-09, 1.0e-11, -0.001, 10, 35, 2.55838e-06, 7.51196e-06
8632654214997271299, 5000, 3.0e-09, 1.0e-11, -0.001, 10, 23, 3.60027e-06, 4.53369e-06
4109423345407753773, 5000, 3.0e-09, 1.0e-11, -0.001, 14, 27, 5.44524e-06, 4.14825e-06
